Ticker,Markowitz_Weight,GA_Weight
AAPL,6.792382199749419e-17,-2803550485.6188774
GOOG,0.0,-5841360458.55293
MSFT,0.0,933461393.847326
AMZN,8.681640607177693e-17,-5201017921.074098
TSLA,0.9999999999999999,12912467472.398579
